id,workflow,journey,category,testName,testTitle,testDescription,segments,modules,tags,req,demo,jira,status,enabled
F1-001,F1,F,ui,realTimeProductivityDashboard,Real-time productivity dashboard,"Turn a report into a live web dashboard of crew output, speed, and cost that refreshes on an interval. Managers keep it open on a phone or browser to watch the day unfold.",all,Real Time Dashboard|Real Time,regression,,1,,draft,0
F1-002,F1,F,ui,dashboardSeedsDefaultBoardOnFirstVisit,[Dashboard] Verify that the route loads and seeds a default board on first visit.,"With persisted boards cleared, the dashboard route auto-provisions a default board and paints at least one widget cell (PET-439).",all,Real Time Dashboard|Real Time,smoke|high-level|regression,F1-R1,0,,automated,1
F1-003,F1,F,ui,dashboardHeaderShowsGreetingAndEditWidgets,[Dashboard] Verify that the header shows a greeting and an Edit Widgets button.,The header renders a time-of-day greeting as an h2 plus the Edit Widgets control. The greeting is matched loosely so it survives time and user drift.,all,Real Time Dashboard|Real Time,high-level|regression,F1-R2,0,,automated,1
F1-004,F1,F,ui,widgetPaletteTogglesOpenAndClosed,[Dashboard] Verify that the Edit Widgets button toggles the palette open and closed.,"Edit Widgets opens the palette and Done closes it. Closed is asserted as an item being not-visible, because the aside stays mounted at w-0.",all,Real Time Dashboard|Real Time,regression,F1-R3,0,,automated,1
F1-005,F1,F,ui,palettePlusButtonAppendsWidget,[Dashboard] Verify that the palette plus-button appends a widget to the active board.,"The palette plus button appends a widget to the active board. Click rather than drag: it hits the same onAdd path dnd-kit would, and synthetic DnD is flaky headless.",all,Real Time Dashboard|Real Time,regression,F1-R4,0,,automated,1
F1-006,F1,F,ui,newWidgetSurvivesFullReload,[Dashboard] Verify that a new widget persists and survives a full page reload.,"A widget added through the palette is still painted after a full page reload, proving the server-backed board store round-trips.",all,Real Time Dashboard|Real Time,regression,F1-R5,0,,automated,1
F2-001,F2,F,ui,mapBasedDashboard,Map-based dashboard,"Show a live map of labor, equipment, and productivity by field, drawn from the field boundaries captured in setup. Useful for seeing where crews are and how each field is progressing.",grower|perennial-grower,Mapping|Real Time Dashboard,regression,,1,,draft,0
F3-001,F3,F,ui,costVersusPriceAnalysis,Cost-versus-price analysis,"Compare accumulating labor cost against the crop's market price to decide whether to keep harvesting, stop, or move fields. This is the owner's profitability view. Parked for Anthony (Cost Accounting off).",all,Cost Accounting|Real Time,regression,,0,,draft,0
F4-001,F4,F,ui,dailyNotification,Daily notification,"Schedule any report to email a recipient at a set time each day, for example who showed up in the field. The same report engine that feeds dashboards feeds these emails.",all,Notification,regression,,0,,draft,0
F5-001,F5,F,ui,dashboardLinkSharing,Dashboard link sharing,Share a live dashboard's web link with managers so they can open it in any browser or pin it on a phone. No app or login flow is needed beyond the link.,all,Real Time Dashboard,regression,,0,,draft,0
F6-001,F6,F,ui,seasonOverSeasonComparison,Season-over-season comparison,Compare results across seasons or years for the same field or crop to judge yield and productivity trends. This is the historical analysis the captured data enables.,grower|perennial-grower,Windows,regression,,0,,draft,0
F7-001,F7,F,ui,reportGenerationAndExport,Report generation and export,"Run any of the system's reports with parameters and send the output to screen, printer, file, or Excel, the everyday analysis and payroll-review surface. The payroll summary and the meal-exceptions report are the most used.",all,Windows,regression,,0,,draft,0
F7-002,F7,F,ui,editorOpensWithLivePreview,[Report Editor] Verify that the editor opens on a seeded report with a live preview.,"WEBPET-731 entry point: the editor reaches a known report and the sandboxed preview iframe renders. If this breaks the whole gate is red regardless of the WYSIWYG work. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,high-level|regression,F7-R1,0,,automated,0
F7-003,F7,F,ui,previewClickSelectsArea,[Report Editor] Verify that clicking an editable area in the preview selects it.,"WEBPET-733: the preview iframe runs the agent with allow-scripts, and clicking an area inside it makes the host paint data-active-area. Proves the bridge, not just the rendered text. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,regression,F7-R2,0,,automated,0
F7-004,F7,F,ui,markerOpensAreaAndIndexDrillsIn,[Report Editor] Verify that a marker opens its area and the index drills in.,"WEBPET-734: a numbered marker opens its area editor in the inspector Sheet; Back returns to the index and another entry drills in. No left nav. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,regression,F7-R3,0,,automated,0
F7-005,F7,F,ui,companyNameEditUpdatesPreview,[Report Editor] Verify that editing the Company Name updates the preview.,"WEBPET-735: editing a branding field re-renders the preview as a draft, without saving. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,regression,F7-R4,0,,automated,0
F7-006,F7,F,ui,tableAreaOpensTabbedEditor,[Report Editor] Verify that the table area opens a tabbed editor.,"WEBPET-736: the Table area editor exposes Columns, Sorting, Grouping and Pivot tabs. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,regression,F7-R5,0,,automated,0
F7-007,F7,F,ui,dragColumnHeaderReordersPreview,[Report Editor] Verify that dragging a column header reorders the preview columns.,"WEBPET-736: dragging a preview column header onto its neighbour reorders the columns, verified by data-col-id. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,regression,F7-R6,0,,automated,0
F7-008,F7,F,ui,sectionsLabelledOnPreview,[Report Editor] Verify that each main section is labelled with its name on the preview.,"Each main section carries a pointed label tag naming its region. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,regression,F7-R7,0,,automated,0
F7-009,F7,F,ui,zoomEnlargesSheetAndResetRestores,[Report Editor] Verify that zooming in enlarges the preview sheet and reset restores it.,"WEBPET-738: two zoom-in clicks grow the rendered sheet and Reset returns it to the auto-fit size, measured by bounding box. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md).",all,Windows,smoke|high-level|regression,F7-R8,0,,automated,1
F7-010,F7,F,ui,markerExposesRegionNameAsLabel,[Report Editor] Verify that a preview marker exposes its region name as an accessible label.,"WEBPET-738: markers carry an accessible name so the overlay is navigable. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,regression,F7-R9,0,,automated,0
F7-011,F7,F,ui,editKeepsPreviewSheetMounted,[Report Editor] Verify that editing keeps the preview sheet mounted.,"WEBPET-738: the sheet renders from persisted HTML and must not unmount while a draft re-render is in flight — no flash. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,regression,F7-R10,0,,automated,0
F7-012,F7,F,ui,orientationSwitchReflectsInAspect,[Report Editor] Verify that switching orientation reflects in the preview aspect.,"WEBPET-737: switching Page Setup to Landscape makes the preview sheet wider than tall. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,regression,F7-R11,0,,automated,0
F7-013,F7,F,ui,widgetsAndFilterSummaryReachableFromIndex,[Report Editor] Verify that the widgets and filter-summary areas are reachable from the index.,"WEBPET-737: the Widgets area is reachable from the index, and Title & Filters is now merged into Header. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,regression,F7-R12,0,,automated,0
F7-014,F7,F,ui,fullWysiwygJourney,[Report Editor] Verify the full hover to marker to sheet journey reflects in the preview and PDF.,"WEBPET-740 sign-off: the whole hover to marker to sheet journey, ending with the preview and printed PDF both reflecting the edits. Marked test.fixme until the WYSIWYG canvas exists; the steps are stubbed so each P-ticket can turn one into a real assertion. Red on dev staging: needs a seeded report (DEV-BASELINE-2026-07-29.md). Quarantined (enabled=0): the editor was rebuilt to an inline ReportCanvas (web-pet bfe869b10, bb9065e1e) — spec rewrite pending.",all,Windows,regression,F7-R13,0,,automated,0
