id,workflow,journey,category,testName,testTitle,testDescription,segments,modules,tags,req,demo,jira,status,enabled
C1-001,C1,C,api,kioskClockIn,Kiosk clock-in,"A worker clocks in at a fixed biometric kiosk that identifies them by iris, face, or finger, with badge or card fallback. Kiosks sit at fixed points such as a packing-house door or nursery entrance.",pack-house|nursery,Bio-Identification,regression,,1,,draft,0
C2-001,C2,C,api,kioskClockOut,Kiosk clock-out,"A worker clocks out at the kiosk by the same identification, closing the work period. On request they can be shown their day's recorded times and pieces.",pack-house|nursery,Bio-Identification,regression,,0,,draft,0
C3-001,C3,C,api,mealStartAndEndWithEnforcement,Meal start and end with enforcement,"The kiosk records the unpaid meal's start and mandatory return and prevents an early return, since a short or late meal owes a penalty hour. This is the highest-compliance kiosk interaction.",pack-house|nursery,Bio-Identification,regression,,1,,draft,0
C4-001,C4,C,api,multiKioskMealHandoff,Multi-kiosk meal handoff,"A worker who starts a meal at one kiosk and ends it at another is reconciled because the kiosks exchange the pair directly through the device mailbox, not via the server. Packing houses have the steady connectivity this relies on.",pack-house,Connectivity|Bio-Identification,regression,,0,,draft,0
C5-001,C5,C,api,buddyPunchPrevention,Buddy-punch prevention,"Biometric identity at the punch stops ghost and buddy punches; where a worker cannot enroll and uses a card, the kiosk captures a photo instead. The photo-capture fallback needs Picture Verification.",pack-house|nursery,Bio-Identification,regression,,0,,draft,0
C6-001,C6,C,api,subCrewTablesCapture,"Sub-crew (""tables"") capture","Workers in a large crew are grouped into tables of three to five under a shared supervisor, and output can be reported per table or rolled to the crew. A table is a reporting grouping, not a separate data structure.",pack-house,Windows,regression,,0,,draft,0
C7-001,C7,C,api,pieceBySizeCaptureAtLine,Piece-by-size capture at line,"Packed pieces are recorded against jobs that differentiate size or grade, so pay and output break down by pack type. Each size or grade is its own job.",pack-house,Piece Payment,regression,,1,,draft,0
C8-001,C8,C,api,caseToEmployeeStickerLink,Case-to-employee sticker link,"Scanning a packed case's sticker links that case to the employee who packed it, the traceability backbone at the line. Pallet-level linkage (case to pallet) is a separate capability the product does not yet close.",pack-house,Traceability - Stickers,regression,,0,,draft,0
C9-001,C9,C,api,timeoutQuestionsAtKiosk,Timeout questions at kiosk,"At clock-out the kiosk asks compliance and safety questions; an unexpected answer emails the crew's notification user and leaves a signed acknowledgment. Same mechanism as the field timeout questions (B12), at a fixed kiosk.",pack-house|nursery,Time Card Questions|Notification,regression,,0,,draft,0
C10-001,C10,C,api,kioskButtonModeHandling,Kiosk button-mode handling,"Kiosks run a 2-, 4-, or 6-button layout; the minimal 2-button layout forces workers to treat Start Lunch as End Work, which generates office corrections. Four buttons is the recommended default.",pack-house|nursery,Bio-Identification,regression,,0,,draft,0
