id,workflow,journey,category,testName,testTitle,testDescription,segments,modules,tags,req,demo,jira,status,enabled
D1-001,D1,D,ui,postOfficeSync,Post Office sync,Pull the day's field and kiosk records into the office instance through the Orange Post Office before any processing. Confirm every device has reported so no crew is missing from the transfer.,all,Connectivity|Network,regression,,0,,draft,0
D2-001,D2,D,ui,exceptionReview,Exception review,"Open the Transfer to Job Card screen and review the day's cached time cards for flagged exceptions before committing anything. Nothing is written to the database yet, so errors can be caught and fixed first.",all,Windows,regression,,1,,draft,0
D3-001,D3,D,ui,addMissingTimeInAndCorrectTimeCard,Add missing time-in and correct time card,"Fix the flagged exceptions on the time card tab, most commonly a missing time-in ahead of a piece-out. Corrections are made on time cards, never on job cards, so they survive a later re-transfer.",all,Windows,regression,,1,,draft,0
D4-001,D4,D,ui,transferToJobCard,Transfer to Job Card,"Run the transfer to convert the reviewed time cards into job cards and compute gross pay, one crew at a time, every day. This is the heart of the program and the basis for all pay and analysis.",all,Windows,regression,,1,,draft,0
D5-001,D5,D,ui,reverseAndRedo,Reverse and redo,"Reverse a committed transfer to return job cards to time cards, fix the underlying data, then re-transfer. Use this when the time card data itself is wrong, not when only a rate changed.",all,Windows,regression,,0,,draft,0
D6-001,D6,D,ui,recalculateAfterSetupChange,Recalculate after setup change,"Recalculate existing job cards to pick up a rate or setup change made after they were created, without deleting them. This differs from reverse, which throws the job cards away.",all,Windows,regression,,0,,draft,0
D7-001,D7,D,ui,multiEdit,Multi-edit,"Change one field across many records at once, for example reassigning the job on a batch of cards. Permissions gate who can multi-edit.",all,Windows,regression,,0,,draft,0
D8-001,D8,D,ui,deleteToRecycleAndRestore,Delete to recycle and restore,"Deleted records are soft-deleted to a recycle bin, excluded from reports but recoverable, so a mistaken delete is reversible. A separate multi-delete restore protects against an interrupted bulk delete.",all,Windows,regression,,0,,draft,0
D9-001,D9,D,workflow,groupPieceOutDistribution,Group piece-out distribution,"A crew piece-out captured as one total is distributed to individual members during the transfer. If the split is wrong, reverse and redistribute.",grower|perennial-grower|pack-house,Piece Payment,regression,,0,,draft,0
D10-001,D10,D,workflow,exerciseAndAutoBreakSplit,Exercise and auto-break split,"The transfer auto-splits the first job card into a short exercise segment plus the remaining work, and supplies a break job card when only a break start was recorded, both per the crew record. These rules turn one field record into the correct paid segments.",all,Windows,regression,,0,,draft,0
