workflow_id,journey,journey_title,title,surface,reachable,modules,catalog_steps,coverage_depth,suites,evidence_specs,journey_rows,journey_rows_automated,webpet_tests,tests_collected,passed,skipped,failed,expected_failure,run_state,baseline_run,note,gap,next_action
A1,A,Setup and configuration (office),"License, serial number, and user setup",ui,browser,Windows|Network,5,journey,journey+webpet,tests/web/journey-a-setup/a01-user-setup.spec.ts tests/web/journey-a-setup/a01-user-create.spec.ts webpet/equiv/export-pet-setup-equivalence.spec.ts,7,7,1,6,6,0,0,0,passing,31704894160/journey,"Journey suite owns A1 end-to-end (A1-001…A1-006, user lifecycle + 17 roles). webpet adds a legacy-parity user create; the PET-Setup export parity spec is host-bound and never collected in CI. Field-level create persistence relocated as A1-007 (tests/web/journey-a-setup/a01-user-create), citing existing A1-R1 plus new A1-R10.",Serial/license application and module ceilings have no web surface — catalog steps 2-3 are automated nowhere (A1-R9).,None for the web half; serial steps stay manual.
A2,A,Setup and configuration (office),"Ranch, field, crop, and variety setup",ui,browser,Windows,5,screens,journey+webpet,tests/web/journey-a-setup/a02-ranch-list.spec.ts tests/web/journey-a-setup/a02-ranch-boundary.spec.ts tests/web/journey-a-setup/a02-field-list.spec.ts tests/web/journey-a-setup/a02-crop-form.spec.ts tests/web/journey-a-setup/a02-variety-form.spec.ts tests/web/journey-a-setup/a02-trace-lists.spec.ts tests/web/journey-a-setup/a02-variety-create.spec.ts webpet/setup-batch-b-smoke.spec.ts,55,54,5,5,5,0,0,0,passing,31692620907/webpet,"Every record type in the hierarchy has form + list + inline-edit + multi-edit coverage, including Grade/Size/Variety. Relocated to the journey suite as rows A2-002..A2-055 (tests/web/journey-a-setup/a02-*); depth stays screens because none of it builds the hierarchy end to end.","No end-to-end build of the ranch→field→crop→variety hierarchy in one journey, and no assertion that field capture resolves against it.",Add a journey spec that builds the hierarchy once and verifies a job references it.
A3,A,Setup and configuration (office),Job setup and earning codes,ui,browser,Windows|Piece Payment,6,partial,webpet,webpet/job.spec.ts webpet/job-group.spec.ts,1,0,20,20,19,1,0,0,mixed,31692620907/webpet,"Job form covers payment type, overtime rule, hourly rate and the per-payment-type required fields; job groups have full form coverage.",Earning codes are never asserted — the field the payroll export (E9/E10) depends on.,Extend job.spec with earning-code entry and assert it reaches the export identifier.
A4,A,Setup and configuration (office),Crew setup,ui,browser,Windows|Department|Notification,5,screens,webpet,webpet/crew.spec.ts webpet/setup-batch-b-smoke.spec.ts,1,0,16,16,16,0,0,0,passing,31692620907/webpet,New/edit crew forms including export-identifier auto-population and read-only-after-create rules.,"Auto-break, exercise and notification-user behaviour set on the crew are configured but never exercised downstream.",Cover the crew's auto-break/notification settings once D10 or B12 is automated.
A5,A,Setup and configuration (office),Employee setup,ui,browser,Windows,6,screens,journey+webpet,tests/web/journey-a-setup/a05-employee-form.spec.ts tests/web/journey-a-setup/a05-employee-documents.spec.ts webpet/setup-batch-b-smoke.spec.ts,18,17,5,5,5,0,0,0,passing,31692620907/webpet,"Employee form, validation, the three-term WEBPET-2006 Name gate and the Documents tab are covered. Relocated to journey rows A5-002..A5-018 (tests/web/journey-a-setup/a05-*); depth stays screens because pay rates, meal waivers and compliance are never asserted.",Meal waivers and compliance data are not asserted; Documents tab is skipped without S3_ENDPOINT.,Assert meal-waiver fields — E7 depends on them.
A6,A,Setup and configuration (office),Biometric enrollment,device,device,Bio-Identification|Connectivity,5,partial,journey,tests/api/journey-a-setup/a06-biometric-device-commands.spec.ts,4,4,0,0,0,0,0,0,not-run,,"Device-command mailbox parity (Gather Logs, Request Partial Data, Set Timezone) against the legacy host.",Enrolment itself is iris/face/finger capture on a kiosk — no browser surface.,Parked with the device automation.
A7,A,Setup and configuration (office),Scan device registration and data scoping,ui,browser,Connectivity|Network,5,screens,webpet,webpet/equiv/scan-device-create-de15-pocket-pda.spec.ts webpet/data-scoping.spec.ts webpet/scan-mode.spec.ts webpet/scan-mode-gating.spec.ts,1,0,51,51,47,4,0,0,mixed,31692620907/webpet,"Device record creation with type/login, plus the scoping half — SU visibility and restricted-user leakage (PET-441) — and Scan Mode route gating.",Pushing setup to the device and scoping crews/fields/jobs onto it is not covered; restricted-user provisioning skips on dev (POST /api/users 500).,Re-enable the restricted-user block once dev user provisioning is fixed.
A8,A,Setup and configuration (office),GPS field boundary mapping,ui,browser,Mapping,4,none,—,,1,0,0,0,0,0,0,0,none,,,Mapping module — field boundary drawing has no automation at all.,Needs the Mapping module licensed on dev before it can be planned.
A9,A,Setup and configuration (office),Piece-out and sticker-roll configuration,ui,browser,Piece Payment|Electronic Token|Traceability - Stickers,4,none,—,,1,0,0,0,0,0,0,0,none,,,Piece method (sticker roll vs badge) and piece-out preferences are unconfigured and untested; blocks B4-B8.,Plan alongside A11 — both live in Preferences.
A10,A,Setup and configuration (office),"Overtime, compliance, and penalty rule setup",ui,browser,Windows|Department,5,none,—,,1,0,0,0,0,0,0,0,none,,"job.spec.ts selects an existing overtime rule, but selecting one is not configuring the rule set.",Overtime templates and the meal/break penalty rule are never created or edited — the setup every E1-E7 calculation depends on.,Highest-value setup gap: automate rule setup before any payroll calculation work.
