id,workflow,journey,category,testName,testTitle,testDescription,segments,modules,tags,req,demo,jira,status,enabled
B1-001,B1,B,workflow,captureCrewTimeInOnDeviceAndExport,"Capture a crew time-in on the device, uncheck the absentee, and export it","Drive PET Pocket's Crew In screen on an emulator: pick field, job and crew, uncheck the absentee in the roster, save, and confirm one Time In per present member plus a non-empty export.",grower|perennial-grower,core,regression,B1-R1|B1-R2|B1-R3|B1-R4|B1-R5|B1-R8,1,,draft,0
B2-001,B2,B,workflow,moveCrewToNewFieldAndJob,"Move the crew to a new field and job, leaving one member behind","Drive PET Pocket's Crew In screen twice: clock the whole crew into the original field/job, then scan the destination field/job barcodes, uncheck the member who did not move, and save.",grower|perennial-grower,Real Time,regression,B2-R1|B2-R2|B2-R3|B2-R5|B2-R6|B2-R7,0,,draft,0
B3-001,B3,B,api,individualTimeInAndDuplicateRangeCorrection,Individual time-in and duplicate-range correction,"Clock in a single worker by badge or biometric (start of day, late arrival, or a fix), with same-scan correction inside the duplicate range. A rescan with corrected data within the window overwrites rather than duplicates.",grower|perennial-grower,Real Time,regression,,0,,draft,0
B4-001,B4,B,api,stickerRollAssignmentAtDayStart,Sticker-roll assignment at day start,"Link an employee to the sticker number range they will use for the day so later case scans attribute to them. The checker scans the roll's first sticker, then the badge.",grower|perennial-grower|pack-house,Traceability - Stickers,regression,,1,,draft,0
B5-001,B5,B,api,stickerPieceOut,Sticker piece-out,The checker scans completed-case stickers to record each piece and attribute it to the employee by sticker prefix. Workers keep moving rather than queueing at the checker.,grower|perennial-grower|pack-house,Piece Payment|Traceability - Stickers,regression,,1,,draft,0
B6-001,B6,B,api,badgePieceOut,Badge piece-out,"Record a piece by scanning the employee's badge when stickers are not used, which is lower throughput because the worker waits at the checker.",grower|perennial-grower,Piece Payment,regression,,0,,draft,0
B7-001,B7,B,api,undefinedEmployeeReconciliation,Undefined-employee reconciliation,"Stickers scanned on a different device than the one that assigned them record as undefined, then attribute to the employee by sticker prefix at sync. Records still undefined after sync need manual office correction.",grower|perennial-grower|pack-house,Traceability - Stickers|Piece Payment,regression,,0,,draft,0
B8-001,B8,B,api,crewPieceOut,Crew piece-out,"Record a single piece total for a crew whose output is counted collectively (for example a machine line with ground pickers), with per-person distribution deferred. The split to individuals happens at Transfer to Job Card.",grower|perennial-grower,Piece Payment,regression,,0,,draft,0
B9-001,B9,B,api,paidBreakRestAndRecovery,Paid break (rest and recovery),"Capture a paid rest break, which by law records that the break was given but needs no return punch. The program supplies the configured length and returns the worker to the prior job.",grower|perennial-grower,Real Time,regression,,0,,draft,0
B10-001,B10,B,api,mealStartAndEndField,Meal start and end (field),"Capture an unpaid meal, which by law requires both a start and a return punch and a minimum length. Devices can enforce the minimum so an early return does not trigger a penalty.",grower|perennial-grower,Real Time,regression,,0,,draft,0
B11-001,B11,B,api,crewOutToIndividualTimeOuts,Crew-out to individual time-outs,One crew-out at end of day expands into an individual time-out for every active member. Workers who left early were already timed out individually.,grower|perennial-grower,Real Time,regression,,0,,draft,0
B12-001,B12,B,api,timeOutQuestionsToNotification,Time-out questions to notification,"At clock-out the worker answers compliance and safety questions; an unexpected answer emails the crew's notification user and leaves a signed acknowledgment. The question set and expected answers are configured in device setup (A7, A14).",grower|perennial-grower|pack-house,Time Card Questions|Notification|Signature,regression,,1,,draft,0
B13-001,B13,B,api,fieldReceiptPrinting,Field receipt printing,Print an in-field receipt of a worker's recorded time or pieces; rarely used in practice. Requires a field printer and token paper.,grower|perennial-grower,Field Printer|Electronic Token,regression,,0,,draft,0
B14-001,B14,B,ui,realTimeFieldDashboard,Real-time field dashboard,Watch live crew productivity and cost in the field on a web dashboard built from a report. The page refreshes on an interval and opens on a phone or browser.,grower|perennial-grower,Real Time Dashboard|Real Time,regression,,1,,draft,0
B15-001,B15,B,api,deviceSyncAndOfflineOperation,Device sync and offline operation,"Devices capture all day without connectivity and reconcile with the office by syncing, a core differentiator for low-coverage fields. End-of-day sync clears the device, so it is done only when recording is finished.",all,Connectivity|Network,regression,,0,,draft,0
