id,workflow,journey,category,testName,testTitle,testDescription,segments,modules,tags,req,demo,jira,status,enabled
E1-001,E1,E,workflow,weeklyRegularRateAveraging,Weekly regular-rate averaging,"Compute each employee's regular rate, the weekly average hourly rate across all hours worked, which is the base for overtime and paid-break pay. For piece-rate workers it differs per person and changes every day as pieces accumulate.",all,Windows,regression,,0,,draft,0
E2-001,E2,E,workflow,californiaDailyOvertime,California daily overtime,"Apply California daily overtime: time-and-a-half after 8 hours and double time after 10 in a workday, computed on the regular rate. The two overtime types must be tagged distinctly for the export.",all,Windows,regression,,0,,draft,0
E3-001,E3,E,workflow,weeklyOvertime,Weekly overtime,"Apply weekly overtime after 40 regular hours in the workweek, alongside the daily rule. The two interact so hours are not counted twice.",all,Windows,regression,,0,,draft,0
E4-001,E4,E,workflow,breakPremiumRecalculation,Break-premium recalculation,"Recompute paid-break pay as the weekly average rate moves through the week, since breaks are paid at that average. This is circular: a new day's pieces change the average, which changes prior breaks, which changes the weekly total.",all,Windows,regression,,0,,draft,0
E5-001,E5,E,workflow,weeklyMinimumWageGuaranteeOnPiece,Weekly minimum-wage guarantee on piece,"Guarantee that piece-rate earnings meet at least minimum wage averaged across the week, topping up if they fall short. A single day below minimum is acceptable if the week as a whole clears it.",grower|perennial-grower|pack-house,Piece Payment|Windows,regression,,0,,draft,0
E6-001,E6,E,workflow,decimalRoundingReconciliation,Decimal-rounding reconciliation,"Reconcile the day's minute total to decimal hours so a full 8-hour day reads 8.00, not 7.99, since minutes convert to repeating decimals. The fix adjusts the day's last job card.",all,Windows,regression,,1,,draft,0
E7-001,E7,E,workflow,mealPenaltyCalculation,Meal-penalty calculation,"Detect short, late, or missed meals against the California thresholds and add a one-hour penalty on a Non Labor penalty job, honoring any waivers. The penalty job carries its own earning code so it exports cleanly.",all,Windows,regression,,1,,draft,0
E8-001,E8,E,ui,finalizeGrossPay,Finalize gross pay,Confirm every crew has transferred cleanly for the week and treat the job cards as the payroll basis. The payroll summary report is the usual final check.,all,Windows,regression,,0,,draft,0
E9-001,E9,E,ui,payrollExportFile,Payroll export file,"Generate the payroll file in the customer's accounting format and hand it to the accounting system, which runs its own paycheck calculation. Always preview with a test file first to catch missing earning codes.",all,Windows,regression,,1,,draft,0
E9-002,E9,E,ui,headerAndDefaultDatesRender,[Export] Verify that the page header and default date inputs render.,"The page header, description, both export-type tabs and the 7-day-lookback default dates all render.",all,Windows,high-level|regression,E9-R1,0,WEBPET-1797,automated,0
